City/Area,State,Metropolitan area,Unified City,Unified State
Fairbanks,AK,"Fairbanks, AK Metropolitan Statistical Area",Fairbanks,AK
Anchorage,AK,"Anchorage, AK Metropolitan Statistical Area",Anchorage,AK
Anniston-Oxford-Jacksonville,AL,"Anniston-Oxford-Jacksonville, AL Metropolitan Statistical Area",Anniston,AL
Auburn-Opelika,AL,"Auburn-Opelika, AL Metropolitan Statistical Area",Auburn,AL
Birmingham-Hoover,AL,"Birmingham-Hoover, AL Metropolitan Statistical Area",Birmingham,AL
Daphne-Fairhope-Foley,AL,"Daphne-Fairhope-Foley, AL Metropolitan Statistical Area",Daphne,AL
Florence-Muscle Shoals,AL,"Florence-Muscle Shoals, AL Metropolitan Statistical Area",Florence,AL
Huntsville,AL,"Huntsville, AL Metropolitan Statistical Area",Huntsville,AL
Decatur,AL,"Decatur, AL Metropolitan Statistical Area",Decatur,AL
Tuscaloosa,AL,"Tuscaloosa, AL Metropolitan Statistical Area",Tuscaloosa,AL
Dothan,AL,"Dothan, AL Metropolitan Statistical Area",Dothan,AL
Montgomery,AL,"Montgomery, AL Metropolitan Statistical Area",Montgomery,AL
Mobile,AL,"Mobile, AL Metropolitan Statistical Area",Mobile,AL
Gadsden,AL,"Gadsden, AL Metropolitan Statistical Area",Gadsden,AL
Fayetteville-Springdale-Rogers,AR-MO,"Fayetteville-Springdale-Rogers, AR-MO Metropolitan Statistical Area",Fayetteville,AR
Fort Smith,AR-OK,"Fort Smith, AR-OK Metropolitan Statistical Area",Fort Smith,AR
Little Rock-North Little Rock-Conway,AR,"Little Rock-North Little Rock-Conway, AR Metropolitan Statistical Area",Little Rock,AR
Jonesboro,AR,"Jonesboro, AR Metropolitan Statistical Area",Jonesboro,AR
Hot Springs,AR,"Hot Springs, AR Metropolitan Statistical Area",Hot Springs,AR
Pine Bluff,AR,"Pine Bluff, AR Metropolitan Statistical Area",Pine Bluff,AR
Lake Havasu City-Kingman,AZ,"Lake Havasu City-Kingman, AZ Metropolitan Statistical Area",Lake Havasu City,AZ
Phoenix-Mesa-Scottsdale,AZ,"Phoenix-Mesa-Scottsdale, AZ Metropolitan Statistical Area",Phoenix,AZ
Sierra Vista-Douglas,AZ,"Sierra Vista-Douglas, AZ Metropolitan Statistical Area",Sierra Vista,AZ
Prescott,AZ,"Prescott, AZ Metropolitan Statistical Area",Prescott,AZ
Tucson,AZ,"Tucson, AZ Metropolitan Statistical Area",Tucson,AZ
Flagstaff,AZ,"Flagstaff, AZ Metropolitan Statistical Area",Flagstaff,AZ
Yuma,AZ,"Yuma, AZ Metropolitan Statistical Area",Yuma,AZ
Hanford-Corcoran,CA,"Hanford-Corcoran, CA Metropolitan Statistical Area",Hanford,CA
Los Angeles-Long Beach-Anaheim,CA,"Los Angeles-Long Beach-Anaheim, CA Metropolitan Statistical Area",Los Angeles,CA
Oxnard-Thousand Oaks-Ventura,CA,"Oxnard-Thousand Oaks-Ventura, CA Metropolitan Statistical Area",Oxnard,CA
Riverside-San Bernardino-Ontario,CA,"Riverside-San Bernardino-Ontario, CA Metropolitan Statistical Area",Riverside,CA
Sacramento--Roseville--Arden-Arcade,CA,"Sacramento--Roseville--Arden-Arcade, CA Metropolitan Statistical Area",Sacramento,CA
San Diego-Carlsbad,CA,"San Diego-Carlsbad, CA Metropolitan Statistical Area",San Diego,CA
San Francisco-Oakland-Hayward,CA,"San Francisco-Oakland-Hayward, CA Metropolitan Statistical Area",San Francisco,CA
San Jose-Sunnyvale-Santa Clara,CA,"San Jose-Sunnyvale-Santa Clara, CA Metropolitan Statistical Area",San Jose,CA
San Luis Obispo-Paso Robles-Arroyo Grande,CA,"San Luis Obispo-Paso Robles-Arroyo Grande, CA Metropolitan Statistical Area",San Luis Obispo,CA
Santa Cruz-Watsonville,CA,"Santa Cruz-Watsonville, CA Metropolitan Statistical Area",Santa Cruz,CA
Santa Maria-Santa Barbara,CA,"Santa Maria-Santa Barbara, CA Metropolitan Statistical Area",Santa Maria,CA
Stockton-Lodi,CA,"Stockton-Lodi, CA Metropolitan Statistical Area",Stockton,CA
Vallejo-Fairfield,CA,"Vallejo-Fairfield, CA Metropolitan Statistical Area",Vallejo,CA
Visalia-Porterville,CA,"Visalia-Porterville, CA Metropolitan Statistical Area",Visalia,CA
Santa Rosa,CA,"Santa Rosa, CA Metropolitan Statistical Area",Santa Rosa,CA
Napa,CA,"Napa, CA Metropolitan Statistical Area",Napa,CA
Chico,CA,"Chico, CA Metropolitan Statistical Area",Chico,CA
Redding,CA,"Redding, CA Metropolitan Statistical Area",Redding,CA
Modesto,CA,"Modesto, CA Metropolitan Statistical Area",Modesto,CA
Yuba City,CA,"Yuba City, CA Metropolitan Statistical Area",Yuba City,CA
Madera,CA,"Madera, CA Metropolitan Statistical Area",Madera,CA
Fresno,CA,"Fresno, CA Metropolitan Statistical Area",Fresno,CA
Salinas,CA,"Salinas, CA Metropolitan Statistical Area",Salinas,CA
Bakersfield,CA,"Bakersfield, CA Metropolitan Statistical Area",Bakersfield,CA
Merced,CA,"Merced, CA Metropolitan Statistical Area",Merced,CA
El Centro,CA,"El Centro, CA Metropolitan Statistical Area",El Centro,CA
Denver-Aurora-Lakewood,CO,"Denver-Aurora-Lakewood, CO Metropolitan Statistical Area",Denver,CO
Boulder,CO,"Boulder, CO Metropolitan Statistical Area",Boulder,CO
Fort Collins,CO,"Fort Collins, CO Metropolitan Statistical Area",Fort Collins,CO
Greeley,CO,"Greeley, CO Metropolitan Statistical Area",Greeley,CO
Colorado Springs,CO,"Colorado Springs, CO Metropolitan Statistical Area",Colorado Springs,CO
Grand Junction,CO,"Grand Junction, CO Metropolitan Statistical Area",Grand Junction,CO
Pueblo,CO,"Pueblo, CO Metropolitan Statistical Area",Pueblo,CO
Norwich-New London-Westerly,CT-RI,"Norwich-New London-Westerly, CT-RI Metropolitan NECTA",Norwich,CT
Bridgeport-Stamford-Norwalk,CT,"Bridgeport-Stamford-Norwalk, CT Metropolitan NECTA",Bridgeport,CT
Hartford-West Hartford-East Hartford,CT,"Hartford-West Hartford-East Hartford, CT Metropolitan NECTA",Hartford,CT
Danbury,CT,"Danbury, CT Metropolitan NECTA",Danbury,CT
New Haven,CT,"New Haven, CT Metropolitan NECTA",New Haven,CT
Waterbury,CT,"Waterbury, CT Metropolitan NECTA",Waterbury,CT
Washington-Arlington-Alexandria,DC-VA-MD-WV,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area",Washington,DC
Dover,DE,"Dover, DE Metropolitan Statistical Area",Dover,DE
Cape Coral-Fort Myers,FL,"Cape Coral-Fort Myers, FL Metropolitan Statistical Area",Cape Coral,FL
Crestview-Fort Walton Beach-Destin,FL,"Crestview-Fort Walton Beach-Destin, FL Metropolitan Statistical Area",Crestview,FL
Deltona-Daytona Beach-Ormond Beach,FL,"Deltona-Daytona Beach-Ormond Beach, FL Metropolitan Statistical Area",Deltona,FL
Lakeland-Winter Haven,FL,"Lakeland-Winter Haven, FL Metropolitan Statistical Area",Lakeland,FL
Miami-Fort Lauderdale-West Palm Beach,FL,"Miami-Fort Lauderdale-West Palm Beach, FL Metropolitan Statistical Area",Miami,FL
Naples-Immokalee-Marco Island,FL,"Naples-Immokalee-Marco Island, FL Metropolitan Statistical Area",Naples,FL
North Port-Sarasota-Bradenton,FL,"North Port-Sarasota-Bradenton, FL Metropolitan Statistical Area",North Port,FL
Orlando-Kissimmee-Sanford,FL,"Orlando-Kissimmee-Sanford, FL Metropolitan Statistical Area",Orlando,FL
Palm Bay-Melbourne-Titusville,FL,"Palm Bay-Melbourne-Titusville, FL Metropolitan Statistical Area",Palm Bay,FL
Pensacola-Ferry Pass-Brent,FL,"Pensacola-Ferry Pass-Brent, FL Metropolitan Statistical Area",Pensacola,FL
Sebastian-Vero Beach,FL,"Sebastian-Vero Beach, FL Metropolitan Statistical Area",Sebastian,FL
Tampa-St. Petersburg-Clearwater,FL,"Tampa-St. Petersburg-Clearwater, FL Metropolitan Statistical Area",Tampa,FL
Gainesville,FL,"Gainesville, FL Metropolitan Statistical Area",Gainesville,FL
Tallahassee,FL,"Tallahassee, FL Metropolitan Statistical Area",Tallahassee,FL
Jacksonville,FL,"Jacksonville, FL Metropolitan Statistical Area",Jacksonville,FL
Panama City,FL,"Panama City, FL Metropolitan Statistical Area",Panama City,FL
Port St. Lucie,FL,"Port St. Lucie, FL Metropolitan Statistical Area",Port St. Lucie,FL
Punta Gorda,FL,"Punta Gorda, FL Metropolitan Statistical Area",Punta Gorda,FL
Ocala,FL,"Ocala, FL Metropolitan Statistical Area",Ocala,FL
Sebring,FL,"Sebring, FL Metropolitan Statistical Area",Sebring,FL
The Villages,FL,"The Villages, FL Metropolitan Statistical Area",The Villages,FL
Homosassa Springs,FL,"Homosassa Springs, FL Metropolitan Statistical Area",Homosassa Springs,FL
Augusta-Richmond County,GA-SC,"Augusta-Richmond County, GA-SC Metropolitan Statistical Area",Augusta,GA
Columbus,GA-AL,"Columbus, GA-AL Metropolitan Statistical Area",Columbus,GA
Athens-Clarke County,GA,"Athens-Clarke County, GA Metropolitan Statistical Area",Athens,GA
Atlanta-Sandy Springs-Roswell,GA,"Atlanta-Sandy Springs-Roswell, GA Metropolitan Statistical Area",Atlanta,GA
Macon-Bibb County,GA,"Macon-Bibb County, GA Metropolitan Statistical Area",Macon,GA
Gainesville,GA,"Gainesville, GA Metropolitan Statistical Area",Gainesville,GA
Savannah,GA,"Savannah, GA Metropolitan Statistical Area",Savannah,GA
Warner Robins,GA,"Warner Robins, GA Metropolitan Statistical Area",Warner Robins,GA
Brunswick,GA,"Brunswick, GA Metropolitan Statistical Area",Brunswick,GA
Rome,GA,"Rome, GA Metropolitan Statistical Area",Rome,GA
Valdosta,GA,"Valdosta, GA Metropolitan Statistical Area",Valdosta,GA
Hinesville,GA,"Hinesville, GA Metropolitan Statistical Area",Hinesville,GA
Dalton,GA,"Dalton, GA Metropolitan Statistical Area",Dalton,GA
Albany,GA,"Albany, GA Metropolitan Statistical Area",Albany,GA
Kahului-Wailuku-Lahaina,HI,"Kahului-Wailuku-Lahaina, HI Metropolitan Statistical Area",Kahului,HI
Urban Honolulu,HI,"Urban Honolulu, HI Metropolitan Statistical Area",Urban Honolulu,HI
Davenport-Moline-Rock Island,IA-IL,"Davenport-Moline-Rock Island, IA-IL Metropolitan Statistical Area",Davenport,IA
Sioux City,IA-NE-SD,"Sioux City, IA-NE-SD Metropolitan Statistical Area",Sioux City,IA
Des Moines-West Des Moines,IA,"Des Moines-West Des Moines, IA Metropolitan Statistical Area",Des Moines,IA
Waterloo-Cedar Falls,IA,"Waterloo-Cedar Falls, IA Metropolitan Statistical Area",Waterloo,IA
Ames,IA,"Ames, IA Metropolitan Statistical Area",Ames,IA
