City,State,Bedroom_Size,Price_2019_01,Price_2019_02,Price_2019_03,Price_2019_04,Price_2019_05,Price_2019_06,Price_2019_07,Price_2019_08,Price_2019_09,Price_2019_10,Price_2019_11,Price_2019_12
New York, NY,Studio,1907,1897,1889,1904,1920,1936,1933,1928,1922,1937,1940,1943
New York, NY,1br,2118,2106,2098,2114,2132,2150,2146,2142,2134,2151,2155,2158
New York, NY,2br,2523,2509,2499,2518,2540,2561,2557,2551,2542,2562,2567,2570
New York, NY,3br,3253,3235,3222,3247,3275,3302,3297,3289,3278,3304,3310,3314
New York, NY,4br,3623,3603,3588,3616,3648,3677,3672,3663,3651,3680,3686,3691
Los Angeles, CA,Studio,1145,1145,1146,1146,1147,1148,1150,1151,1152,1151,1150,1150
Los Angeles, CA,1br,1363,1363,1364,1364,1366,1367,1369,1370,1371,1370,1369,1369
Los Angeles, CA,2br,1752,1752,1752,1753,1755,1756,1759,1761,1761,1760,1760,1759
Los Angeles, CA,3br,2381,2381,2381,2382,2385,2387,2391,2393,2394,2392,2391,2391
Los Angeles, CA,4br,2625,2625,2626,2627,2629,2632,2636,2639,2640,2637,2637,2637
Chicago, IL,Studio,927,926,927,932,938,943,943,942,940,940,940,942
Chicago, IL,1br,1076,1075,1076,1082,1089,1094,1095,1094,1091,1091,1091,1093
Chicago, IL,2br,1266,1265,1265,1273,1281,1287,1288,1287,1283,1283,1284,1285
Chicago, IL,3br,1619,1617,1618,1628,1638,1646,1647,1646,1641,1641,1642,1644
Chicago, IL,4br,1926,1925,1926,1937,1949,1959,1960,1958,1953,1953,1954,1956
Houston, TX,Studio,738,737,735,739,742,746,746,744,741,742,743,744
Houston, TX,1br,837,835,833,837,841,845,845,844,840,841,842,844
Houston, TX,2br,1024,1022,1019,1024,1029,1035,1034,1032,1028,1030,1030,1032
Houston, TX,3br,1396,1393,1390,1397,1403,1411,1410,1407,1402,1404,1404,1408
Houston, TX,4br,1774,1770,1766,1775,1783,1793,1792,1789,1781,1784,1785,1789
Philadelphia, PA,Studio,819,817,815,819,823,826,825,823,821,820,821,823
Philadelphia, PA,1br,972,970,968,972,977,981,979,977,974,973,975,977
Philadelphia, PA,2br,1173,1171,1169,1174,1179,1184,1183,1180,1176,1175,1177,1179
Philadelphia, PA,3br,1468,1465,1462,1469,1475,1482,1479,1476,1472,1470,1473,1475
Philadelphia, PA,4br,1633,1630,1627,1634,1642,1649,1646,1643,1638,1636,1639,1641
Phoenix, AZ,Studio,701,704,707,710,713,715,717,719,721,725,725,726
Phoenix, AZ,1br,852,855,859,862,866,868,871,874,876,881,881,882
Phoenix, AZ,2br,1062,1065,1070,1074,1079,1082,1085,1089,1092,1097,1098,1099
