,0,1
0,AL,Daphne
1,AL,Decatur
2,CA,Hanford
3,CA,Madera
4,CO,Greeley
5,DC,Washington
6,FL,Lakeland
7,FL,North Port
8,FL,Palm Bay
9,FL,Sebastian
10,FL,Punta Gorda
11,FL,Sebring
12,FL,The Villages
13,GA,Warner Robins
14,HI,Urban Honolulu
15,ID,Boise City
16,IN,Columbus
17,IN,Elkhart
18,KY,Louisville/Jefferson County
19,MD,California
20,MI,Niles
21,MI,Monroe
22,MI,Battle Creek
23,MI,Bay City
24,NC,Winston
25,NC,Goldsboro
26,NH,Dover
27,NJ,Atlantic City
28,NJ,Ocean City
29,NY,Glens Falls
30,OH,Springfield
31,OR,Albany
32,PA,Gettysburg
33,PA,East Stroudsburg
34,TN,Cleveland
35,TX,San Angelo
36,VA,Staunton
37,WA,Longview
38,WI,Appleton
39,WI,Fond du Lac
40,WV,Weirton
