msa_city,msa_state,msa,Personal_Income_2018,Personal_Income_2019
Abilene,TX,"Abilene, TX",43140,44730
Akron,OH,"Akron, OH",49423,51501
Albany,GA,"Albany, GA",37500,38550
Albany-Lebanon,OR,"Albany-Lebanon, OR",42891,44886
Albany-Schenectady-Troy,NY,"Albany-Schenectady-Troy, NY",58104,60557
Albuquerque,NM,"Albuquerque, NM",42536,43770
Alexandria,LA,"Alexandria, LA",43995,45263
Allentown-Bethlehem-Easton,PA-NJ,"Allentown-Bethlehem-Easton, PA-NJ",54120,56387
Altoona,PA,"Altoona, PA",46743,48900
Amarillo,TX,"Amarillo, TX",46131,47769
Ames,IA,"Ames, IA",43519,45150
Anchorage,AK,"Anchorage, AK",60953,62719
Ann Arbor,MI,"Ann Arbor, MI",59363,62025
Anniston-Oxford,AL,"Anniston-Oxford, AL",37120,38352
Appleton,WI,"Appleton, WI",51134,52926
Asheville,NC,"Asheville, NC",45433,47399
Athens-Clarke County,GA,"Athens-Clarke County, GA",40690,42436
Atlanta-Sandy Springs-Alpharetta,GA,"Atlanta-Sandy Springs-Alpharetta, GA",52473,54834
Atlantic City-Hammonton,NJ,"Atlantic City-Hammonton, NJ",48668,50507
Auburn-Opelika,AL,"Auburn-Opelika, AL",38036,39269
Augusta-Richmond County,GA-SC,"Augusta-Richmond County, GA-SC",42053,43660
Austin-Round Rock-Georgetown,TX,"Austin-Round Rock-Georgetown, TX",58773,62359
Bakersfield,CA,"Bakersfield, CA",39703,40627
Baltimore-Columbia-Towson,MD,"Baltimore-Columbia-Towson, MD",62402,64751
Bangor,ME,"Bangor, ME",42053,43793
Barnstable Town,MA,"Barnstable Town, MA",74756,78371
Baton Rouge,LA,"Baton Rouge, LA",48042,49877
Battle Creek,MI,"Battle Creek, MI",40276,41471
Bay City,MI,"Bay City, MI",41722,42912
Beaumont-Port Arthur,TX,"Beaumont-Port Arthur, TX",44527,46036
Beckley,WV,"Beckley, WV",38717,41209
Bellingham,WA,"Bellingham, WA",48792,50756
Bend,OR,"Bend, OR",55143,57799
Billings,MT,"Billings, MT",52019,54440
Binghamton,NY,"Binghamton, NY",44817,46932
Birmingham-Hoover,AL,"Birmingham-Hoover, AL",50979,53309
Bismarck,ND,"Bismarck, ND",56564,57372
Blacksburg-Christiansburg,VA,"Blacksburg-Christiansburg, VA",38538,40146
Bloomington,IL,"Bloomington, IL",49180,50460
Bloomington,IN,"Bloomington, IN",41947,44052
Bloomsburg-Berwick,PA,"Bloomsburg-Berwick, PA",45527,47394
