Metropolitan area,Unemployment Rate,Rank,Year,Month,City/Area,State
"Kahului-Wailuku-Lahaina, HI Metropolitan Statistical Area",2.1,1,2020,3,Kahului-Wailuku-Lahaina,HI
"Urban Honolulu, HI Metropolitan Statistical Area",2.1,1,2020,3,Urban Honolulu,HI
"Ames, IA Metropolitan Statistical Area",2.2,3,2020,3,Ames,IA
"Ann Arbor, MI Metropolitan Statistical Area",2.4,4,2020,3,Ann Arbor,MI
"Idaho Falls, ID Metropolitan Statistical Area",2.4,4,2020,3,Idaho Falls,ID
"Madison, WI Metropolitan Statistical Area",2.4,4,2020,3,Madison,WI
"Boise City, ID Metropolitan Statistical Area",2.5,7,2020,3,Boise City,ID
"Charleston-North Charleston, SC Metropolitan Statistical Area",2.5,7,2020,3,Charleston-North Charleston,SC
"Columbus, IN Metropolitan Statistical Area",2.5,7,2020,3,Columbus,IN
"Dover-Durham, NH-ME Metropolitan NECTA",2.5,7,2020,3,Dover-Durham,NH-ME
"Oklahoma City, OK Metropolitan Statistical Area",2.5,7,2020,3,Oklahoma City,OK
"Champaign-Urbana, IL Metropolitan Statistical Area",2.6,12,2020,3,Champaign-Urbana,IL
"Manchester, NH Metropolitan NECTA",2.6,12,2020,3,Manchester,NH
"Manhattan, KS Metropolitan Statistical Area",2.6,12,2020,3,Manhattan,KS
"Portsmouth, NH-ME Metropolitan NECTA",2.6,12,2020,3,Portsmouth,NH-ME
"Burlington-South Burlington, VT Metropolitan NECTA",2.7,16,2020,3,Burlington-South Burlington,VT
"Columbia, SC Metropolitan Statistical Area",2.7,16,2020,3,Columbia,SC
"Fargo, ND-MN Metropolitan Statistical Area",2.7,16,2020,3,Fargo,ND-MN
"Grand Rapids-Wyoming, MI Metropolitan Statistical Area",2.7,16,2020,3,Grand Rapids-Wyoming,MI
"Greenville-Anderson-Mauldin, SC Metropolitan Statistical Area",2.7,16,2020,3,Greenville-Anderson-Mauldin,SC
"Hilton Head Island-Bluffton-Beaufort, SC Metropolitan Statistical Area",2.7,16,2020,3,Hilton Head Island-Bluffton-Beaufort,SC
"Appleton, WI Metropolitan Statistical Area",2.8,22,2020,3,Appleton,WI
"Bloomington, IL Metropolitan Statistical Area",2.8,22,2020,3,Bloomington,IL
"Elkhart-Goshen, IN Metropolitan Statistical Area",2.8,22,2020,3,Elkhart-Goshen,IN
"Huntsville, AL Metropolitan Statistical Area",2.8,22,2020,3,Huntsville,AL
"Iowa City, IA Metropolitan Statistical Area",2.8,22,2020,3,Iowa City,IA
"Lawton, OK Metropolitan Statistical Area",2.8,22,2020,3,Lawton,OK
"Nashville-Davidson--Murfreesboro--Franklin, TN Metropolitan Statistical Area",2.8,22,2020,3,Nashville-Davidson--Murfreesboro--Franklin,TN
"Oshkosh-Neenah, WI Metropolitan Statistical Area",2.8,22,2020,3,Oshkosh-Neenah,WI
"Pocatello, ID Metropolitan Statistical Area",2.8,22,2020,3,Pocatello,ID
"Portland-South Portland, ME Metropolitan NECTA",2.8,22,2020,3,Portland-South Portland,ME
"Sheboygan, WI Metropolitan Statistical Area",2.8,22,2020,3,Sheboygan,WI
"Spartanburg, SC Metropolitan Statistical Area",2.8,22,2020,3,Spartanburg,SC
"Tulsa, OK Metropolitan Statistical Area",2.8,22,2020,3,Tulsa,OK
"Twin Falls, ID Metropolitan Statistical Area",2.8,22,2020,3,Twin Falls,ID
"Wausau, WI Metropolitan Statistical Area",2.8,22,2020,3,Wausau,WI
"Bismarck, ND Metropolitan Statistical Area",2.9,37,2020,3,Bismarck,ND
"Charlottesville, VA Metropolitan Statistical Area",2.9,37,2020,3,Charlottesville,VA
